date,day_end_ts,cumulative_realized_net_usdc,open_mtm_net_usdc,combined_equity_net_usdc,open_positions_count,marked_open_positions_count,mark_coverage_share
2025-05-09,2025-05-09T23:59:59+00:00,21990.888430768395,-4270.789942347024,17720.09848842137,117,29,0.24786324786324787
2025-05-10,2025-05-10T23:59:59+00:00,21990.888430768395,-4270.789942347024,17720.09848842137,117,29,0.24786324786324787
2025-05-11,2025-05-11T23:59:59+00:00,21990.888430768395,-4270.789942347024,17720.09848842137,118,29,0.2457627118644068
2025-05-12,2025-05-12T23:59:59+00:00,21990.888430768395,-4270.789942347024,17720.09848842137,119,29,0.24369747899159663
2025-05-13,2025-05-13T23:59:59+00:00,21990.888430768395,-4270.789942347024,17720.09848842137,121,29,0.2396694214876033
2025-05-14,2025-05-14T23:59:59+00:00,21990.888430768395,-4270.789942347024,17720.09848842137,124,29,0.23387096774193547
2025-05-15,2025-05-15T23:59:59+00:00,22179.040373164455,-4270.789942347024,17908.250430817432,122,29,0.23770491803278687
2025-05-16,2025-05-16T23:59:59+00:00,22179.040373164455,-4270.789942347024,17908.250430817432,123,29,0.23577235772357724
2025-05-17,2025-05-17T23:59:59+00:00,22158.609394715117,-4270.789942347024,17887.819452368094,123,29,0.23577235772357724
2025-05-18,2025-05-18T23:59:59+00:00,22018.84415895151,-5012.505534664343,17006.338624287167,125,30,0.24
2025-05-19,2025-05-19T23:59:59+00:00,22018.84415895151,-5012.505534664343,17006.338624287167,125,30,0.24
2025-05-20,2025-05-20T23:59:59+00:00,22035.89489645151,-5012.505534664343,17023.38936178717,124,30,0.24193548387096775
2025-05-21,2025-05-21T23:59:59+00:00,22027.994016134384,-5012.505534664343,17015.48848147004,125,30,0.24
2025-05-22,2025-05-22T23:59:59+00:00,22150.913833798542,-5012.505534664343,17138.4082991342,125,30,0.24
2025-05-23,2025-05-23T23:59:59+00:00,23101.222218598483,-5012.505534664343,18088.71668393414,126,30,0.23809523809523808
2025-05-24,2025-05-24T23:59:59+00:00,23051.13611125569,-5012.505534664343,18038.63057659135,125,30,0.24
2025-05-25,2025-05-25T23:59:59+00:00,23047.095733902883,-5012.505534664343,18034.59019923854,126,30,0.23809523809523808
2025-05-26,2025-05-26T23:59:59+00:00,23045.40819187088,-5014.019134664343,18031.389057206536,127,31,0.2440944881889764
2025-05-27,2025-05-27T23:59:59+00:00,23045.40819187088,-5014.019134664343,18031.389057206536,127,31,0.2440944881889764
2025-05-28,2025-05-28T23:59:59+00:00,23116.210993728,-5014.019134664343,18102.191859063656,126,31,0.24603174603174602
2025-05-29,2025-05-29T23:59:59+00:00,23098.74185066047,-5014.019134664343,18084.722715996126,125,31,0.248
2025-05-30,2025-05-30T23:59:59+00:00,23087.40609517443,-5014.019134664343,18073.386960510084,124,31,0.25
2025-05-31,2025-05-31T23:59:59+00:00,23087.40609517443,-5014.019134664343,18073.386960510084,125,31,0.248
2025-06-01,2025-06-01T23:59:59+00:00,23503.758421666815,-4993.483726803394,18510.27469486342,126,30,0.23809523809523808
2025-06-02,2025-06-02T23:59:59+00:00,23507.08042092268,-4993.483726803394,18513.596694119286,125,30,0.24
2025-06-03,2025-06-03T23:59:59+00:00,23507.08042092268,-4993.483726803394,18513.596694119286,127,30,0.23622047244094488
2025-06-04,2025-06-04T23:59:59+00:00,23507.08042092268,-4993.483726803394,18513.596694119286,141,30,0.2127659574468085
2025-06-05,2025-06-05T23:59:59+00:00,23537.301662002646,-4993.483726803394,18543.81793519925,147,30,0.20408163265306123
2025-06-06,2025-06-06T23:59:59+00:00,23537.301662002646,-4993.483726803394,18543.81793519925,149,30,0.20134228187919462
2025-06-07,2025-06-07T23:59:59+00:00,23537.301662002646,-4993.483726803394,18543.81793519925,149,30,0.20134228187919462
2025-06-08,2025-06-08T23:59:59+00:00,23537.301662002646,-4993.483726803394,18543.81793519925,150,30,0.2
2025-06-09,2025-06-09T23:59:59+00:00,23545.391426519058,-4993.483726803394,18551.907699715663,149,30,0.20134228187919462
2025-06-10,2025-06-10T23:59:59+00:00,23545.391426519058,-4993.483726803394,18551.907699715663,151,30,0.1986754966887417
2025-06-11,2025-06-11T23:59:59+00:00,23491.614959096805,-4993.483726803394,18498.13123229341,155,30,0.1935483870967742
2025-06-12,2025-06-12T23:59:59+00:00,23409.716176084847,-4996.289491240895,18413.42668484395,160,31,0.19375
2025-06-13,2025-06-13T23:59:59+00:00,23393.189635859224,-5229.5584911733495,18163.631144685874,163,32,0.19631901840490798
2025-06-14,2025-06-14T23:59:59+00:00,24606.48641191365,-5549.873975038636,19056.612436875017,172,33,0.19186046511627908
